,parent,daughter,loss,count
315,85.1,55.06,30.039999999999992,5
316,85.1,57.07,28.029999999999994,42
317,85.1,61.03,24.069999999999993,2
318,85.1,62.06,23.039999999999992,1
319,85.1,67.06,18.039999999999992,4
320,85.1,69.03,16.069999999999993,3
321,85.1,69.07,16.03,10
322,85.1,71.05,14.049999999999997,1
323,85.1,71.09,14.009999999999991,61
324,85.1,73.03,12.069999999999993,5
325,85.1,73.07,12.030000000000001,9
326,85.1,79.05,6.049999999999997,2
327,85.1,79.06,6.039999999999992,1
328,85.1,80.06,5.039999999999992,5
329,85.1,81.03,4.069999999999993,3
330,85.1,81.07,4.030000000000001,16
331,85.1,83.05,2.049999999999997,2
332,85.1,83.09,2.009999999999991,14
333,86.1,55.93,30.169999999999995,1
334,86.1,56.96,29.139999999999993,1
335,86.1,57.03,29.069999999999993,1
336,86.1,58.07,28.029999999999994,1
337,86.1,60.08,26.019999999999996,3
338,86.1,67.05,19.049999999999997,1
339,86.1,69.07,17.03,1
340,86.1,72.08,14.019999999999996,1
341,86.1,79.05,7.049999999999997,1
342,86.1,80.06,6.039999999999992,1
343,86.1,81.07,5.030000000000001,1
344,86.1,82.07,4.030000000000001,1
345,86.15,66.59,19.560000000000002,1
346,86.15,79.58,6.570000000000007,1
347,87.04,57.07,29.970000000000006,7
348,87.04,69.03,18.010000000000005,1
349,87.04,71.09,15.950000000000003,21
350,87.04,73.03,14.010000000000005,4
351,87.04,73.07,13.970000000000013,6
352,87.04,80.06,6.980000000000004,3
353,87.04,85.03,2.010000000000005,1
354,87.04,85.1,1.940000000000012,31
355,88.04,67.05,20.99000000000001,1
356,88.04,79.05,8.990000000000009,1
357,88.04,81.07,6.970000000000013,1
358,88.04,82.06,5.980000000000004,2
359,89.06,55.06,34.0,5
360,89.06,57.07,31.990000000000002,30
361,89.06,62.06,27.0,1
362,89.06,67.05,22.010000000000005,3
363,89.06,67.06,22.0,5
364,89.06,67.2,21.86,1
365,89.06,68.27,20.790000000000006,1
366,89.06,69.03,20.03,2
367,89.06,69.07,19.99000000000001,10
368,89.06,70.29,18.769999999999996,1
369,89.06,70.51,18.549999999999997,1
370,89.06,71.05,18.010000000000005,1
371,89.06,71.09,17.97,46
372,89.06,73.03,16.03,5
373,89.06,73.07,15.990000000000009,9
374,89.06,74.32,14.740000000000009,1
375,89.06,79.05,10.010000000000005,4
376,89.06,79.06,10.0,4
377,89.06,80.06,9.0,5
378,89.06,81.02,8.040000000000006,2
379,89.06,81.03,8.030000000000001,1
380,89.06,81.07,7.990000000000009,12
381,89.06,82.06,7.0,1
382,89.06,82.36,6.700000000000003,1
383,89.06,83.05,6.010000000000005,2
384,89.06,83.09,5.969999999999999,7
385,89.06,84.08,4.980000000000004,1
386,89.06,85.03,4.030000000000001,1
387,89.06,85.1,3.960000000000008,52
388,89.06,86.1,2.960000000000008,1
389,89.06,87.04,2.019999999999996,34
390,89.81,55.05,34.760000000000005,1
391,89.81,67.05,22.760000000000005,1
392,89.81,69.07,20.74000000000001,1
393,89.81,79.05,10.760000000000005,1
394,89.81,81.07,8.740000000000009,1
395,90.98,55.05,35.93000000000001,2
396,90.98,62.98,28.000000000000007,1
397,90.98,67.05,23.930000000000007,5
398,90.98,69.07,21.91000000000001,5
399,90.98,79.05,11.930000000000007,7
400,90.98,81.03,9.950000000000003,1
401,90.98,81.07,9.91000000000001,7
402,90.98,82.06,8.920000000000002,4
403,90.98,83.09,7.890000000000001,1
404,90.98,84.96,6.02000000000001,2
405,90.98,89.81,1.1700000000000017,1
406,91.04,57.07,33.970000000000006,3
407,91.04,61.03,30.010000000000005,6
408,91.04,67.05,23.99000000000001,6
